stateid,year,gdp millions,gdpgrowth,population,net sales of gasoline,gross sales of gasoline,net sales of diesel oil,vehicles sales monthly (units),vehicles sales monthly (th $),vehicles sales yearly (units),vehicles sales yearly (th $),cpi,co2 total,co2 household,co2 industries,trans_exp_pc,unemp_rate,state
12,2005,"35,428",0.0112,938753,1188259,1194195,417863,3222,95819,38664,1149828,109.3,23274,4365,18909,,8.8,Nova Scotia
12,2006,"35,697",0.0076,937046,1192608,1194984,456929,3383,102115,40596,1225380,110.2,24971,4712,20259,424.2,7.5,Nova Scotia
12,2007,"36,142",0.0125,935379,1182790,1190856,435338,3269,95303,39228,1143636,113.6,22456,4857,17599,381.5,7.6,Nova Scotia
12,2008,"36,859",0.0198,937045,1157968,1164705,418907,2783,85410,33396,1024920,113.4,22632,4981,17651,435.5,8.3,Nova Scotia
12,2009,"36,984",0.0034,940501,1192779,1200587,407387,3439,104462,41268,1253544,116.3,23087,5181,17906,447.5,9.7,Nova Scotia
12,2010,"37,983",0.027,944179,1213016,1217768,424334,2844,91944,34128,1103328,119.4,22329,5406,16923,551.1,11.1,Nova Scotia
12,2011,"38,227",0.0064,945016,1197281,1205599,415427,3112,91877,37344,1102524,122.7,22722,6012,16710,637.4,8.1,Nova Scotia
12,2012,"37,835",-0.0103,943341,1174963,1203213,387458,2743,84070,32916,1008840,124.9,20915,5859,15056,638.6,10,Nova Scotia
12,2013,"37,697",-0.0036,940105,1182460,1187817,401030,2936,91403,35232,1096836,126.7,19699,5381,14318,662,9.1,Nova Scotia
12,2014,"38,066",0.0098,938972,1183836,1197193,401662,3537,116388,42444,1396656,127.4,18071,5076,12996,692.3,8.5,Nova Scotia
12,2015,"38,325",0.0068,938320,1200200,1228092,389215,3407,118088,40884,1417056,128.9,18069,5483,12586,691.5,8.7,Nova Scotia
12,2016,"38,895",0.0149,946103,1237405,1275784,384649,3230,116691,38760,1400292,130.6,17124,5328,11796,689.9,8.7,Nova Scotia
12,2017,"39,461",0.0146,954374,1252000,1283649,411252,3154,119806,37848,1437672,132.8,17542,5547,11995,701.5,8.2,Nova Scotia
13,1999,"4,419",,136424,209466,211631,43448,382,10475,4584,125700,92.9,,,,,,Prince Edward Island
13,2000,"4,536",0.0265,136400,205235,208380,44756,332,8641,3984,103692,96.4,,,,,11.9,Prince Edward Island
13,2001,"4,473",-0.0139,136876,200192,203095,44524,347,9359,4164,112308,96.7,,,,,13.3,Prince Edward Island
13,2002,"4,695",0.0496,137078,210701,213294,43554,384,10334,4608,124008,102.2,,,,,11,Prince Edward Island
13,2003,"4,783",0.0187,137425,206374,208876,47743,295,8906,3540,106872,103.6,,,,,10.3,Prince Edward Island
13,2004,"4,939",0.0326,137695,200296,201572,53785,362,9792,4344,117504,107.4,,,,,10.5,Prince Edward Island
13,2005,"5,110",0.0346,138130,207675,209866,46368,301,8406,3612,100872,110,,,,,11,Prince Edward Island
13,2006,"5,249",0.0272,137898,194312,195660,46265,348,9390,4176,112680,111.6,,,,668.3,12.3,Prince Edward Island
13,2007,"5,221",-0.0053,138026,196120,200511,46931,334,9549,4008,114588,114.7,,,,770.5,10.7,Prince Edward Island
13,2008,"5,280",0.0113,139465,194003,196645,43906,297,7357,3564,88284,114.7,,,,817.3,12.2,Prince Edward Island
13,2009,"5,298",0.0034,140611,201323,204522,58738,392,11610,4704,139320,118.1,2001,1078,923,885.9,10.6,Prince Edward Island
13,2010,"5,405",0.0202,142732,202006,205349,45768,354,9970,4248,119640,119.9,2055,1067,988,853,12.1,Prince Edward Island
13,2011,"5,519",0.0211,144378,204928,208674,48647,403,11959,4836,143508,123.4,2279,1214,1066,879.7,10.5,Prince Edward Island
13,2012,"5,572",0.0096,144520,203670,208586,40938,364,9945,4368,119340,124.9,2174,1153,1020,838.1,10.6,Prince Edward Island
13,2013,"5,673",0.0181,144103,198920,202122,37611,305,8962,3660,107544,128.6,1891,1034,857,748.8,11.4,Prince Edward Island
13,2014,"5,682",0.0016,144538,199500,201891,39880,504,15376,6048,184512,128.1,1878,992,885,785.8,11.4,Prince Edward Island
13,2015,"5,754",0.0127,144894,201838,207399,48447,505,17020,6060,204240,129.2,1865,949,916,812.3,9.7,Prince Edward Island
13,2016,"5,855",0.0176,147948,211439,215642,46616,524,18455,6288,221460,130.9,1971,986,986,826.7,10.1,Prince Edward Island
13,2017,"6,059",0.0348,151477,216552,220468,47583,438,16315,5256,195780,133.5,,,,,9.6,Prince Edward Island
14,1999,"22,127",,532246,587784,601082,166113,1345,35496,16140,425952,94.7,,,,,,Newfoundland and Labrador
14,2000,"23,315",0.0537,526732,574110,595545,186856,1239,32711,14868,392532,97.3,,,,,17.1,Newfoundland and Labrador
14,2001,"23,877",0.0241,521581,580576,605177,182501,1376,36022,16512,432264,96.7,,,,,16,Newfoundland and Labrador
14,2002,"27,744",0.162,519458,587295,606755,187045,1765,46745,21180,560940,101.5,,,,,17.3,Newfoundland and Labrador
14,2003,"29,564",0.0656,518786,600614,612540,191870,1555,43241,18660,518892,102.6,,,,,17.4,Newfoundland and Labrador
14,2004,"29,349",-0.0073,516906,599162,613916,201565,1271,35296,15252,423552,105.8,,,,,14.4,Newfoundland and Labrador
14,2005,"30,185",0.0285,513740,587439,601803,224357,1433,41958,17196,503496,107.9,,,,,15.7,Newfoundland and Labrador
14,2006,"31,384",0.0397,510329,589155,600955,238703,1566,45233,18792,542796,109.3,,,,549.3,14.1,Newfoundland and Labrador
14,2007,"34,910",0.1124,510262,604949,616872,245690,1577,46810,18924,561720,111.8,,,,597.8,12.7,Newfoundland and Labrador
14,2008,"34,385",-0.015,513437,617143,630257,264232,1404,38692,16848,464304,113.1,,,,797,13.6,Newfoundland and Labrador
14,2009,"30,928",-0.1005,518985,634637,644852,239501,1807,54696,21684,656352,115.2,10285,2592,7693,857.4,15.5,Newfoundland and Labrador
14,2010,"32,614",0.0545,522865,655049,668102,276546,1868,58748,22416,704976,118.1,10404,2553,7851,979.6,14.3,Newfoundland and Labrador
14,2011,"33,510",0.0275,525936,663160,670082,289985,1965,57600,23580,691200,121.9,10427,2866,7561,905.7,13.2,Newfoundland and Labrador
14,2012,"32,035",-0.044,527180,700449,710752,266750,1728,52846,20736,634152,123.5,9967,2850,7117,750.2,11.6,Newfoundland and Labrador
14,2013,"33,718",0.0525,528117,700063,709837,312260,1844,58772,22128,705264,126.6,9997,2720,7277,748.6,11.3,Newfoundland and Labrador
14,2014,"33,324",-0.0117,528461,741509,753748,316566,2314,77321,27768,927852,126.8,11068,2980,8089,812.3,11.2,Newfoundland and Labrador
14,2015,"32,920",-0.0121,528696,717483,731608,360213,1882,67054,22584,804648,128.6,11486,2865,8622,797.9,13.9,Newfoundland and Labrador
14,2016,"33,514",0.018,529968,783282,835017,349145,1835,66504,22020,798048,133.9,12051,3067,8984,809.6,14.9,Newfoundland and Labrador
14,2017,"33,811",0.0089,528463,749758,782768,347145,1392,54217,16704,650604,136.2,,,,,15.2,Newfoundland and Labrador
